NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
"890,906,197",UMO S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GUARNE -ANTIOQUIA,"2,930",MANUFACTURA,$0.07,-$0.00,$0.07,$0.05,$0.02,"2,022"
"900,428,749",DISTRIBUIDORA FP S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,BELLO-ANTIOQUIA,"4,729",COMERCIO,$0.07,$0.00,$0.03,$0.02,$0.01,"2,022"
"901,164,974",JUNICAL MEDICAL S.A.S.,SUPERSALUD,Bogotá - Cundinamarca,CUNDINAMARCA,GIRARDOT-CUNDINAMARCA,"8,610",SERVICIOS,$0.07,$0.00,$0.03,$0.02,$0.01,"2,022"
"901,193,481",PARRA ISAZA GRUPO INVERSIONISTA S.A.S.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,"4,711",COMERCIO,$0.07,$0.00,$0.03,$0.02,$0.01,"2,022"
"900,007,362",COMPAÑIA MINERA LIDIAR SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,GUACHETA-CUNDINAMARCA,510,MINERO,$0.07,$0.02,$0.04,$0.01,$0.03,"2,022"
"800,004,228",SARY SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,"1,081",MANUFACTURA,$0.07,$0.01,$0.03,$0.01,$0.02,"2,022"
"830,080,150",SILICONAS Y QUIMICOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,664",COMERCIO,$0.07,$0.01,$0.04,$0.01,$0.02,"2,022"
"890,922,265",HATCH S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"7,112",SERVICIOS,$0.07,$0.01,$0.08,$0.03,$0.05,"2,022"
"900,993,624",CONCESIONARIA DE VIAS Y PEAJES 2016 SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"5,221",SERVICIOS,$0.07,$0.02,$0.03,$0.01,$0.02,"2,022"
"900,251,823",SAN AGUSTIN ENERGY CORP. SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$0.07,$0.01,$0.07,$0.14,-$0.06,"2,022"
"860,001,093",ESCOBAR Y MARTINEZ S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"2,219",MANUFACTURA,$0.07,$0.00,$0.06,$0.03,$0.04,"2,022"
"800,163,827",ANDIASISTENCIA COMPAÑIA DE ASISTENCIA DE LOS ANDES S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"7,490",SERVICIOS,$0.07,-$0.01,$0.03,$0.02,$0.02,"2,022"
"860,510,672",VERTICAL DE AVIACION SAS EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"5,111",SERVICIOS,$0.07,-$0.02,$0.40,$0.37,$0.03,"2,022"
"800,081,030",MAYUN S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"4,663",COMERCIO,$0.07,$0.00,$0.06,$0.04,$0.02,"2,022"
"901,232,482",PORTLAND COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,690",COMERCIO,$0.07,-$0.00,$0.07,$0.07,$0.00,"2,022"
"816,007,113",CRISALLTEX SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,"1,410",MANUFACTURA,$0.07,$0.00,$0.10,$0.05,$0.05,"2,022"
"830,091,965",BAGGRIT DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,"1,051",MANUFACTURA,$0.07,$0.01,$0.05,$0.02,$0.03,"2,022"
"900,579,568",PUERTO ARTURO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,820,MINERO,$0.07,-$0.05,$0.18,$0.15,$0.03,"2,022"
"900,249,607",OPERADORA DE FRANQUICIAS DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"5,611",SERVICIOS,$0.07,-$0.00,$0.02,$0.03,-$0.00,"2,022"
"900,127,127",CI ALLIANCE SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,631",COMERCIO,$0.07,$0.01,$0.12,$0.04,$0.08,"2,022"
"900,182,180",ANDIRENT SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"7,730",SERVICIOS,$0.07,$0.00,$0.06,$0.06,$0.01,"2,022"
"800,250,926",INSTALACIONES HIDRAULICAS Y SANITARIAS WC SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,322",CONSTRUCCIÓN,$0.07,$0.00,$0.09,$0.05,$0.04,"2,022"
"890,107,100",SERVICIOS EVENTUALES DE COLOMBIA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,"7,820",SERVICIOS,$0.07,$0.00,$0.02,$0.01,$0.00,"2,022"
"900,430,878",AZUL & BLANCO MILLONARIOS FC SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"9,312",SERVICIOS,$0.07,$0.01,$0.06,$0.02,$0.05,"2,022"
